CASE# 1:
7299 not found
9863 not found
6732 not found
5469 not found
1459 not found
7281 not found
9642 not found
8942 not found
2930 not found
1820 not found
9538 not found
5603 not found
2055 found at 161
6280 not found
5869 not found
5607 not found
8375 not found
5959 not found
3722 not found
4670 not found
8906 found at 653
907 not found
8098 not found
4911 not found
4145 not found
9593 not found
9602 not found
6984 found at 520
113 not found
9139 not found
3972 not found
9504 not found
628 not found
6468 not found
3007 not found
3247 not found
5043 not found
5941 not found
5679 not found
2115 not found
4896 found at 366
4598 not found
7698 not found
8385 not found
1415 not found
3629 not found
2235 found at 174
9025 not found
3886 not found
1895 not found
6678 not found
964 not found
5829 not found
5928 not found
277 not found
8296 not found
6243 not found
8230 not found
8038 not found
7320 not found
8640 not found
5985 not found
1585 not found
6239 not found
8839 not found
9643 not found
5830 not found
6008 not found
818 not found
3801 not found
1990 not found
2118 not found
8449 not found
7755 not found
2385 found at 182
3364 not found
1686 not found
6025 not found
2176 not found
9147 not found
4572 not found
2061 not found
7658 not found
6135 not found
9927 not found
4085 not found
2588 not found
6383 not found
320 not found
4343 not found
1985 not found
3303 not found
7527 not found
8163 not found
6891 not found
1130 not found
363 not found
3665 not found
832 not found
7320 not found
6876 not found
5887 not found
5997 not found
775 not found
4230 not found
109 not found
8199 not found
3134 not found
1983 not found
2424 not found
4028 not found
642 not found
7098 not found
3211 not found
3926 not found
1737 not found
3881 not found
3578 not found
5342 not found
2813 not found
9306 not found
9736 not found
3479 not found
933 not found
3340 not found
1413 not found
3696 not found
8615 not found
9784 not found
9884 found at 725
6079 not found
926 not found
3065 not found
7068 not found
822 not found
7136 not found
3856 not found
3450 not found
7375 not found
5096 not found
3916 not found
7476 found at 553
1791 not found
7255 not found
6274 not found
5329 not found
4277 not found
2258 not found
5252 not found
8970 not found
9367 not found
7335 not found
5646 not found
944 not found
6599 not found
2792 not found
1355 not found
3581 not found
7196 found at 533
642 not found
5728 not found
7553 not found
8280 not found
8848 not found
1718 not found
2397 not found
4899 not found
3091 not found
22 not found
7948 not found
2170 found at 170
6517 not found
8979 not found
9480 not found
8777 not found
8211 not found
1347 not found
5554 not found
7943 not found
7401 not found
2470 not found
6854 not found
9771 not found
2694 found at 204
1059 not found
840 not found
1702 not found
4068 not found
7223 not found
8041 not found
848 not found
9099 not found
2931 not found
4410 not found
6056 not found
9600 not found
7419 not found
9906 not found
5877 not found
9583 not found
2591 not found
7958 not found
5329 not found
352 not found
7601 not found
326 not found
6543 not found
4403 not found
5045 not found
4813 not found
7322 not found
CASE# 3:
6139 not found
5691 not found
5618 not found
8227 not found
517 not found
88 not found
747 not found
1231 found at 99
2890 not found
528 not found
7029 not found
9316 not found
5718 not found
4867 not found
4713 not found
58 not found
6231 not found
7051 not found
6343 not found
2229 not found
889 not found
4973 not found
4872 not found
3194 not found
663 not found
852 not found
840 not found
6665 not found
9671 not found
9053 found at 789
4410 found at 385
8294 not found
4413 not found
8042 not found
3605 not found
491 not found
8645 not found
8789 found at 769
3744 not found
3844 not found
6308 not found
6548 not found
3715 not found
36 not found
9454 found at 827
9423 not found
9115 not found
3785 not found
2313 found at 208
932 not found
3092 not found
4511 not found
3427 not found
5036 not found
2285 not found
9720 not found
145 not found
6191 not found
358 not found
8421 not found
388 not found
4943 found at 427
7571 not found
6914 not found
8078 not found
1832 not found
3606 not found
2923 not found
3313 not found
4885 not found
5449 not found
9742 found at 861
1155 not found
6437 not found
3378 not found
7448 not found
5040 not found
2337 not found
575 found at 45
3135 not found
678 not found
1717 not found
4130 not found
8303 not found
4559 not found
1842 not found
68 not found
8200 not found
7587 not found
6488 not found
115 not found
4013 not found
1059 not found
6016 not found
2352 not found
6519 not found
7236 not found
5558 not found
5910 not found
5824 not found
3988 not found
351 not found
3239 not found
3818 not found
1617 not found
8211 not found
9601 not found
7033 not found
2474 not found
1944 found at 170
2535 not found
8871 not found
9473 not found
1124 found at 84
7128 not found
2128 not found
5540 not found
1669 not found
5364 not found
7966 found at 702
4409 not found
3000 not found
1655 not found
7356 not found
6001 not found
122 not found
495 found at 36
6050 not found
6612 not found
50 not found
4127 not found
261 not found
1737 not found
2218 found at 195
5214 not found
5598 not found
1778 not found
3144 not found
702 not found
5899 not found
7850 not found
9679 found at 851
8790 not found
6543 not found
6766 not found
2487 not found
3452 not found
5710 not found
4418 not found
4655 not found
4567 not found
9533 not found
7901 not found
3771 not found
1277 not found
3282 not found
2282 not found
4952 not found
2851 not found
3474 not found
8002 not found
2102 not found
5522 not found
390 not found
3706 not found
3427 not found
4949 found at 431
7509 not found
965 not found
5700 not found
5914 not found
5238 not found
9708 not found
5647 not found
1162 found at 89
5252 not found
1362 not found
1774 not found
3801 not found
6503 not found
6413 not found
6037 not found
3862 not found
4211 not found
5665 not found
8150 not found
9125 not found
8143 not found
5494 not found
2211 not found
6638 not found
6706 not found
2803 not found
6848 not found
6435 not found
8664 not found
807 not found
4288 not found
7854 not found
638 not found
6387 not found
3921 not found
1143 not found
7036 not found
2806 not found
2940 found at 255
590 not found
943 not found
5662 found at 497
4585 not found
188 not found
3460 not found
9693 not found
1366 not found
4758 not found
4410 found at 385
8000 not found
6304 not found
4270 not found
8190 not found
6942 not found
5176 not found
7406 not found
9539 not found
6797 not found
6450 not found
7671 not found
9354 not found
4837 not found
7823 not found
4250 not found
2926 not found
7531 not found
4511 not found
3726 not found
6799 not found
1221 not found
7061 not found
5177 not found
4894 not found
2773 found at 242
1895 not found
8452 not found
7426 not found
3588 found at 309
7777 not found
9496 not found
2435 not found
8365 not found
7423 not found
210 not found
1928 found at 166
1768 not found
3699 not found
9713 not found
3541 found at 305
6465 not found
9585 not found
6057 not found
2434 not found
9530 not found
7587 not found
3551 not found
8475 not found
1819 not found
9025 not found
9142 not found
1752 not found
6498 not found
8328 not found
4734 not found
2630 not found
1611 not found
8961 not found
7398 not found
444 not found
9287 not found
3077 not found
8806 not found
462 not found
6032 not found
5773 not found
115 not found
9247 not found
3008 not found
9350 not found
6826 not found
4710 not found
4502 not found
2644 not found
5088 not found
1784 not found
7717 not found
6286 not found
9669 found at 850
1186 not found
5619 not found
9379 not found
1342 not found
6660 not found
6113 not found
8492 not found
9378 not found
9280 not found
9008 not found
8309 not found
9411 not found
2962 not found
4600 not found
1599 not found
8445 not found
7147 not found
4940 not found
8912 not found
5686 not found
6856 not found
5328 not found
1528 not found
3053 not found
4793 not found
389 not found
7807 not found
2668 not found
2980 not found
5282 not found
9832 not found
9096 not found
8392 not found
9848 not found
5968 not found
3322 not found
5946 not found
6964 found at 616
6285 not found
9456 found at 829
6189 not found
7080 not found
646 not found
9902 not found
7245 not found
6764 not found
8160 not found
9522 not found
6030 not found
8578 not found
7218 not found
8717 not found
8100 found at 714
2068 not found
9262 not found
4439 not found
4838 not found
1056 not found
7755 not found
5118 not found
3033 not found
3539 not found
2961 not found
1145 not found
5645 not found
7852 not found
2988 found at 258
8381 not found
1634 not found
7218 not found
5936 not found
2101 found at 182
3169 not found
4698 found at 405
1666 not found
1653 not found
4669 not found
5479 not found
136 not found
3280 not found
9273 not found
2609 not found
2723 not found
9108 not found
6946 not found
7808 not found
6350 not found
2603 not found
7105 not found
4779 not found
9238 found at 805
1328 not found
9264 not found
6879 found at 599
8511 not found
1711 not found
6676 not found
9324 not found
8196 not found
4931 not found
9003 not found
3190 not found
5752 not found
3101 not found
4626 not found
1456 not found
4134 not found
3785 not found
7472 not found
5812 not found
4720 not found
5907 not found
5834 not found
7320 not found
607 found at 48
4198 not found
9536 not found
6355 not found
8531 not found
4293 not found
4911 not found
9973 not found
4019 not found
5721 not found
8654 not found
4093 not found
5358 not found
7610 not found
7552 not found
9196 not found
4010 not found
3385 not found
3697 not found
2607 not found
2055 not found
1828 not found
1314 not found
4982 not found
4531 not found
5666 not found
1912 not found
3956 not found
3119 not found
1395 not found
7374 not found
743 found at 58
3874 not found
8864 not found
8990 not found
6648 not found
3196 not found
3109 not found
3786 not found
3757 not found
9305 not found
5868 not found
5294 not found
517 not found
455 not found
9589 not found
7829 not found
9648 not found
5140 not found
3600 not found
3917 not found
7143 not found
9588 not found
1612 not found
6605 found at 579
302 not found
5331 not found
9678 not found
1307 not found
6627 not found
3694 not found
2003 not found
1589 not found
5996 not found
8768 not found
8328 not found
9277 not found
2106 not found
5878 not found
3583 not found
6961 not found
3479 not found
89 not found
3341 found at 288
1004 not found
2649 not found
9994 not found
1237 not found
6621 not found
1780 not found
7091 not found
5538 not found
4849 not found
4253 not found
2143 not found
7083 not found
9157 not found
3242 not found
6222 not found
8355 not found
3032 not found
496 not found
8873 not found
7693 not found
5613 not found
3608 found at 311
5065 not found
6158 not found
6484 not found
6162 not found
8641 not found
6352 found at 557
7915 not found
1818 not found
2812 not found
6691 found at 585
2282 not found
1169 not found
438 not found
4560 not found
9516 not found
7414 found at 651
8120 not found
6174 not found
6544 not found
9479 not found
214 not found
3541 found at 305
9441 not found
6159 not found
4620 not found
4647 not found
950 not found
85 found at 8
5593 not found
5730 not found
296 not found
6259 not found
2186 not found
8812 not found
182 found at 15
7921 not found
651 not found
4197 not found
4911 not found
6830 not found
4290 not found
6828 not found
1690 not found
9785 not found
751 not found
1908 not found
3278 not found
1312 not found
7429 not found
2257 not found
5200 not found
6869 not found
2323 not found
6598 not found
6849 not found
4145 not found
1468 found at 125
3151 found at 274
591 not found
6175 not found
8512 not found
2314 not found
9009 not found
6630 found at 580
9998 not found
2479 not found
3147 not found
1609 not found
900 not found
8989 not found
2819 not found
7415 not found
5070 not found
7263 not found
6136 not found
3322 not found
5559 not found
9930 not found
2507 found at 225
7881 not found
3758 not found
6379 not found
7780 not found
2219 not found
4901 not found
3970 not found
5655 not found
4044 not found
4478 not found
8728 not found
2978 found at 257
8866 not found
4338 found at 376
8575 not found
2713 not found
5670 not found
7819 not found
9364 not found
9105 found at 794
8921 not found
8985 not found
223 not found
5334 not found
2117 not found
264 not found
4491 not found
1354 not found
6558 not found
1333 not found
753 found at 60
340 not found
709 not found
3854 found at 333
5671 not found
4698 found at 405
4862 not found
4303 not found
3270 not found
8372 not found
4906 not found
5815 not found
4112 not found
1946 not found
2742 not found
2856 not found
986 not found
4937 not found
2252 not found
1632 not found
891 not found
329 not found
724 not found
2446 not found
2568 not found
9574 not found
1741 not found
5615 not found
9046 found at 787
9161 not found
6791 not found
9148 not found
5771 not found
3566 not found
3581 not found
6413 not found
7666 not found
5320 found at 463
3990 not found
8614 found at 757
1266 not found
5849 not found
6723 not found
8338 not found
4780 not found
7756 found at 682
4880 not found
4426 not found
828 not found
8520 not found
3854 found at 333
7315 not found
8876 not found
107 not found
6633 not found
6975 not found
889 not found
4261 found at 369
7623 not found
6184 not found
8709 not found
2192 not found
951 not found
7759 not found
10000 not found
3176 not found
761 not found
4147 not found
5063 not found
8668 not found
6289 not found
9420 found at 825
6215 not found
7967 not found
6358 not found
2400 not found
8724 not found
9449 not found
5035 not found
6325 not found
4130 not found
9708 not found
41 not found
300 not found
8846 not found
6250 not found
9593 not found
9703 not found
1080 not found
1229 not found
260 not found
4502 not found
2591 not found
3093 not found
1362 not found
5476 found at 481
6543 not found
5184 not found
6423 not found
4297 not found
4893 not found
7248 not found
9559 not found
2527 not found
9437 not found
1763 not found
9372 not found
4221 not found
8057 not found
7563 found at 665
5405 not found
2248 not found
9988 not found
2333 not found
269 not found
5933 not found
1235 not found
9962 not found
338 not found
8838 not found
6108 not found
1284 not found
8785 not found
8611 found at 756
4598 not found
1473 not found
4495 not found
4744 not found
1645 found at 141
1175 not found
1609 not found
4663 not found
4499 not found
2643 not found
7586 not found
CASE# 4:
7957 not found
7141 not found
3352 not found
8905 not found
2225 not found
9183 not found
7125 not found
4504 not found
6818 not found
9805 not found
4712 not found
2367 not found
5569 not found
6887 not found
2678 not found
4397 not found
7458 not found
415 not found
5983 not found
508 not found
4198 not found
1052 not found
6067 not found
5255 not found
4704 not found
7652 not found
3264 not found
9421 not found
1726 not found
9840 not found
387 not found
6041 not found
1467 not found
4004 not found
2141 not found
2540 not found
2497 not found
4988 not found
7246 not found
82 not found
2918 not found
1047 not found
849 not found
7820 not found
7635 not found
2572 not found
6648 not found
7473 not found
9720 not found
2424 not found
6342 not found
4027 not found
7492 not found
1098 not found
6345 not found
9859 found at 312
7857 not found
4845 not found
6831 not found
5180 not found
9755 not found
6437 not found
9358 not found
6047 found at 187
7828 not found
2271 not found
6183 not found
6593 not found
3046 not found
482 not found
2120 not found
646 not found
3107 not found
2849 not found
5954 not found
5553 not found
9182 not found
4142 not found
1556 not found
7888 not found
1774 not found
873 not found
117 not found
7039 not found
6081 not found
7949 not found
7967 not found
5783 not found
9720 not found
5568 not found
2970 not found
7967 not found
5968 not found
7543 not found
291 not found
7528 not found
7541 not found
9889 not found
6832 not found
5207 not found
6938 not found
8293 not found
7941 not found
2900 not found
3127 not found
7113 not found
5523 not found
8961 not found
2357 not found
6811 not found
5073 not found
5857 not found
2574 not found
5066 not found
9139 not found
2126 not found
9691 not found
2652 not found
1038 not found
3700 not found
847 not found
5416 not found
330 not found
3841 not found
4159 not found
8670 not found
2041 not found
4222 not found
9968 not found
1751 not found
3774 not found
3599 not found
5611 not found
815 not found
6049 not found
9597 not found
3926 not found
1318 not found
5078 not found
2281 not found
3795 not found
5443 not found
3238 not found
5003 not found
8340 not found
2580 found at 86
3330 not found
9884 not found
4730 not found
5654 not found
449 not found
4881 not found
7821 not found
2762 not found
9061 not found
9538 not found
3781 not found
8340 not found
2485 not found
541 not found
3750 not found
478 not found
9777 not found
9046 not found
7392 not found
3933 not found
9158 not found
9965 not found
2310 not found
3113 not found
7184 not found
8763 not found
9041 not found
9260 not found
6765 found at 201
4516 not found
8374 not found
7312 not found
5322 not found
54 not found
6745 not found
6742 not found
1725 not found
9236 not found
1487 not found
923 not found
5581 not found
5413 not found
973 not found
8377 not found
7090 not found
3456 not found
7450 not found
6864 not found
1727 not found
85 not found
866 not found
4101 not found
9857 not found
1305 not found
477 not found
7317 not found
2246 not found
6322 not found
76 not found
9008 not found
5487 not found
3752 not found
6830 not found
9935 not found
2075 not found
2388 not found
3200 not found
6017 not found
9245 not found
7772 not found
CASE# 5:
5747 not found
1179 not found
8217 not found
1438 not found
9184 not found
6389 not found
1538 not found
2418 found at 144
946 not found
1329 not found
1041 found at 42
8084 not found
1532 not found
2892 not found
9920 not found
3862 not found
8941 not found
4889 not found
1164 not found
2630 not found
5896 not found
2142 not found
1508 not found
2998 not found
8015 not found
485 not found
6003 not found
373 not found
5010 not found
6429 found at 362
2300 not found
6091 not found
6128 not found
5318 not found
1176 not found
8442 not found
6501 not found
1599 not found
5896 not found
1285 not found
754 not found
614 not found
9169 not found
9844 not found
5672 not found
555 not found
5912 not found
196 not found
1507 not found
104 not found
822 not found
8673 not found
2985 not found
1253 not found
8245 not found
3538 not found
8905 not found
9353 not found
4330 not found
2350 not found
2091 not found
7088 not found
2692 not found
5079 not found
3842 not found
9451 not found
7523 not found
8675 found at 506
9901 not found
4923 not found
2513 not found
5661 found at 316
2940 not found
9376 not found
4523 not found
6072 not found
892 not found
936 not found
4987 not found
8550 not found
5169 not found
1309 not found
1718 not found
7985 not found
4666 not found
8153 not found
5930 not found
5123 not found
8282 not found
3793 not found
1159 not found
6493 not found
6005 not found
3373 not found
173 not found
7999 not found
571 not found
7082 not found
700 not found
6157 not found
3659 not found
2662 not found
3506 not found
290 not found
3881 not found
80 not found
6196 not found
7191 not found
5598 not found
6010 found at 341
2951 not found
7754 not found
3690 not found
4658 not found
5608 not found
6310 not found
4600 not found
6468 not found
54 not found
4788 not found
745 not found
1934 not found
520 not found
1890 not found
4224 not found
8396 not found
8110 not found
6460 found at 364
7215 not found
2652 not found
395 not found
4956 not found
6722 not found
6489 not found
2864 not found
2406 not found
8089 not found
3975 not found
3607 not found
2712 not found
1431 not found
203 not found
63 not found
9551 not found
9364 not found
9755 not found
9362 not found
5724 not found
429 not found
4881 not found
9093 not found
9326 not found
752 not found
1327 not found
6822 not found
9638 not found
8323 not found
3069 not found
4790 not found
8724 found at 509
2962 found at 171
2160 not found
8108 not found
3678 not found
3795 not found
6773 not found
2613 not found
7564 not found
6120 not found
7352 found at 420
5526 not found
3282 not found
1326 not found
6548 not found
7281 not found
8678 found at 507
1035 not found
4925 not found
3270 not found
8125 not found
3882 not found
1378 not found
6035 found at 343
5618 not found
4445 not found
4008 not found
2516 not found
6936 not found
142 not found
4970 not found
7755 not found
5984 not found
6199 not found
8571 not found
347 not found
1494 not found
321 not found
399 not found
3725 not found
7521 not found
5326 not found
7273 not found
2757 not found
6491 found at 366
9758 not found
825 not found
8998 not found
9689 not found
3833 not found
6305 not found
4426 not found
3427 not found
2512 not found
2745 not found
2797 not found
2726 found at 156
9092 not found
301 not found
8419 not found
4525 not found
8730 not found
6183 not found
6612 not found
1496 not found
9752 not found
7237 found at 415
9606 not found
484 not found
725 not found
7285 not found
5597 not found
8805 not found
1609 not found
9874 not found
6611 not found
7860 not found
3176 not found
872 not found
449 not found
6030 not found
5804 found at 323
6628 not found
1844 not found
2560 not found
8669 not found
9697 not found
3903 not found
5122 not found
9139 not found
5870 not found
833 not found
5124 not found
4941 not found
2684 not found
4679 found at 253
6481 not found
1101 not found
5213 not found
8418 not found
8047 not found
6649 not found
2399 not found
8746 not found
6723 not found
8333 found at 479
2816 not found
1581 not found
5576 not found
6082 not found
6729 not found
3680 not found
630 not found
3492 not found
242 not found
7603 not found
2497 not found
1440 not found
3045 not found
3852 not found
6017 not found
7108 not found
8937 not found
2208 not found
4325 not found
5180 not found
892 not found
1428 not found
1578 not found
2337 not found
1964 not found
848 not found
8928 not found
7264 not found
915 not found
8178 not found
4288 not found
5832 not found
5743 not found
7834 not found
7859 not found
3754 not found
7858 not found
7852 not found
8889 not found
240 not found
5522 not found
7230 not found
7471 not found
5508 not found
749 not found
8728 not found
2391 not found
5608 not found
7633 not found
3783 not found
7373 not found
3949 not found
8182 found at 467
5800 not found
8955 not found
2241 not found
360 not found
7407 not found
4247 not found
6894 not found
285 not found
2341 not found
4616 not found
3893 not found
6974 not found
2303 not found
8144 not found
1770 not found
387 not found
242 not found
9360 not found
4651 not found
6998 not found
4398 not found
5455 not found
5091 not found
7777 found at 439
9005 not found
3082 not found
7499 not found
2209 not found
4349 not found
9784 not found
6481 not found
8554 not found
7963 not found
9692 found at 553
2071 found at 109
1776 not found
6586 not found
5360 not found
5026 not found
6814 not found
1131 not found
9729 not found
4741 not found
8275 not found
2567 not found
315 not found
8171 not found
3287 not found
6605 found at 372
5557 not found
102 not found
8020 found at 461
256 not found
5422 not found
3223 not found
2265 not found
9673 found at 551
9133 not found
2086 not found
CASE# 6:
5663 not found
4445 found at 127
2259 not found
2936 not found
4002 not found
9100 not found
2301 not found
404 not found
7284 not found
617 not found
9384 not found
2297 not found
4489 not found
5904 not found
3241 not found
2526 not found
3262 not found
7881 not found
2018 not found
619 not found
9605 not found
1925 not found
2808 not found
6019 not found
3809 not found
6248 not found
8866 not found
7747 not found
9938 not found
7789 not found
9821 not found
4453 not found
1892 not found
278 not found
1412 not found
2916 not found
7054 not found
8038 not found
9606 not found
3973 not found
6192 not found
1639 not found
8366 not found
5465 not found
8205 not found
8269 not found
7954 not found
7963 not found
267 not found
5672 not found
3508 not found
79 not found
4328 not found
778 not found
8550 not found
9870 not found
3716 not found
235 not found
3005 not found
2854 not found
6607 not found
5978 not found
2953 not found
3642 not found
5106 not found
4093 not found
9129 not found
7041 not found
3927 not found
7103 not found
8179 not found
7395 not found
9172 not found
4429 not found
6196 not found
2714 not found
6647 not found
1392 not found
2980 not found
4869 not found
8669 not found
5919 found at 171
2346 not found
8152 not found
4985 not found
1091 not found
5929 not found
6106 not found
6826 not found
8548 not found
5603 not found
263 not found
5182 not found
3961 not found
617 not found
3523 not found
1077 not found
5698 not found
1051 not found
6488 not found
2335 not found
7562 not found
4211 not found
6984 not found
988 not found
9082 not found
777 not found
3708 not found
4517 not found
668 not found
4600 not found
2899 not found
5198 not found
3611 not found
236 not found
254 not found
5352 not found
8318 not found
3447 not found
9129 not found
4726 not found
591 not found
378 not found
4923 not found
8125 not found
1462 not found
9104 not found
4884 not found
7762 not found
8645 not found
1091 not found
1349 not found
5368 not found
5097 not found
6397 not found
3969 not found
3301 found at 91
2906 not found
1957 not found
4229 not found
8246 not found
2188 not found
8605 not found
3389 found at 94
1675 not found
9421 not found
7363 not found
3819 not found
9466 not found
1856 not found
9431 not found
5322 not found
6960 not found
1979 not found
9310 not found
1845 not found
3317 not found
3992 found at 113
6874 not found
5431 not found
1222 not found
8296 not found
CASE# 7:
780 found at 251
9402 not found
5804 found at 1863
5490 found at 1772
970 not found
7760 not found
4746 found at 1537
3793 not found
9145 found at 2918
8557 not found
5608 found at 1806
3077 not found
6858 not found
1054 not found
3639 not found
6161 not found
8303 not found
6058 not found
678 not found
4362 not found
9358 found at 2980
1597 found at 536
6464 not found
3764 not found
722 not found
394 found at 131
9270 found at 2949
5704 found at 1838
1846 not found
2037 not found
8177 not found
3718 not found
9286 not found
5741 not found
2012 not found
5986 not found
9853 found at 3155
7046 not found
7773 not found
3457 found at 1138
9917 found at 3177
7280 not found
8169 found at 2604
2747 found at 885
7531 not found
9700 not found
3440 not found
8238 not found
9057 not found
9354 not found
686 not found
8552 not found
7107 not found
3137 not found
8943 found at 2860
3101 not found
3766 not found
6982 not found
4854 not found
3816 not found
8126 not found
7697 not found
4329 not found
6579 found at 2089
2151 not found
5408 not found
5412 not found
9549 found at 3047
8882 not found
5842 not found
8717 not found
7199 not found
7608 not found
4530 not found
6814 found at 2174
921 found at 307
2900 found at 933
9509 not found
5737 not found
9579 found at 3060
627 not found
2464 not found
4681 not found
9135 not found
6275 not found
9594 found at 3063
6551 not found
6222 not found
8027 not found
5702 not found
9077 not found
1680 not found
2531 found at 814
983 found at 326
7700 not found
6839 not found
7502 not found
2810 not found
6017 not found
3822 not found
2408 found at 776
582 not found
4173 found at 1355
6471 not found
5439 not found
6699 not found
5066 found at 1632
528 found at 164
1784 not found
6576 not found
3741 found at 1229
3969 found at 1297
786 not found
1810 found at 593
2111 not found
7695 found at 2472
1829 not found
8060 found at 2569
6923 not found
7922 found at 2521
6765 not found
8357 not found
8194 found at 2612
1247 not found
5198 found at 1680
53 not found
7750 not found
2459 found at 793
7123 found at 2276
4281 not found
5852 not found
1094 not found
6801 not found
1061 found at 355
4466 not found
6237 not found
621 not found
3915 not found
4175 not found
9575 found at 3058
2612 found at 840
8733 found at 2796
4587 not found
6911 found at 2210
7221 not found
3327 not found
8477 not found
7370 found at 2356
1063 not found
865 not found
2221 not found
4996 found at 1612
3415 not found
7223 not found
7644 not found
7062 not found
3598 not found
3785 not found
2456 not found
7828 found at 2501
9575 found at 3058
1510 found at 509
9296 not found
235 not found
881 found at 296
9943 not found
5792 not found
2284 not found
8730 found at 2795
2077 not found
4232 not found
813 found at 269
2078 not found
1557 found at 522
7938 not found
7713 not found
5963 found at 1908
385 not found
7629 not found
9804 not found
5282 found at 1710
7215 found at 2309
9529 not found
6667 not found
6886 found at 2197
5083 not found
8402 not found
6354 not found
5793 not found
560 not found
590 found at 187
7510 not found
8959 not found
7751 not found
7704 not found
8227 not found
4788 not found
1297 not found
7247 not found
1349 not found
5694 found at 1836
6109 found at 1954
8046 found at 2563
6141 not found
5810 found at 1866
2661 found at 858
8877 not found
3249 not found
9630 found at 3077
3784 not found
1737 found at 572
1926 found at 625
5619 not found
8405 found at 2695
3733 found at 1226
9477 not found
4835 found at 1574
8393 not found
2761 not found
4402 not found
7968 not found
5256 not found
6374 not found
9856 found at 3157
422 not found
4078 not found
5430 not found
4326 not found
2615 not found
8068 not found
4170 found at 1352
2126 found at 678
9484 not found
9557 found at 3050
6840 found at 2184
461 not found
4503 not found
5277 not found
1443 not found
1908 not found
8840 not found
6856 not found
4802 not found
7215 found at 2309
8621 not found
1867 not found
3407 not found
8612 not found
3214 found at 1043
2222 found at 710
9024 not found
8788 not found
4153 not found
6978 not found
4319 not found
1135 found at 393
1178 found at 409
1322 not found
1741 not found
439 not found
6529 not found
149 found at 51
3891 not found
3456 not found
6389 not found
7232 found at 2318
8580 found at 2747
8017 not found
9328 not found
7022 not found
2153 not found
6066 found at 1936
9705 found at 3096
1214 found at 423
811 found at 268
7289 not found
5311 found at 1718
3026 not found
6979 not found
3516 found at 1160
2928 not found
3165 not found
647 not found
1818 not found
2193 found at 703
